productID,collection,energy_bandpassName,time_bounds_samples,time_bounds_lower,time_exposure
826404p,CFHT,r.MP9601,[[53698.4544716 53698.457944817594]],53698.4544716,300.086
826405p,CFHT,r.MP9601,[[53698.458579 53698.46205226389]],53698.458579,300.0900000000001
826406p,CFHT,r.MP9601,[[53698.4627246 53698.46619782917]],53698.4627246,300.08699999999976
826407p,CFHT,r.MP9601,[[53698.4677573 53698.471230286115]],53698.4677573,300.06600000000003
826408p,CFHT,r.MP9601,[[53698.471885 53698.47535793982]],53698.471885,300.06199999999995
826804p,CFHT,r.MP9601,[[53702.3203177 53702.32379116065]],53702.3203177,300.107
826805p,CFHT,r.MP9601,[[53702.3244957 53702.3279691375]],53702.3244957,300.1049999999998
826806p,CFHT,r.MP9601,[[53702.3285574 53702.33203089537]],53702.3285574,300.11
826807p,CFHT,r.MP9601,[[53702.3334223 53702.33689570278]],53702.3334223,300.1020000000001
826808p,CFHT,r.MP9601,[[53702.3388763 53702.34234965648]],53702.3388763,300.098
826812p,CFHT,r.MP9601,[[53702.3687933 53702.37226655231]],53702.3687933,300.089
826813p,CFHT,r.MP9601,[[53702.372958 53702.376431171295]],53702.372958,300.08200000000016
827126p,CFHT,r.MP9601,[[53705.3237625 53705.32723560185]],53705.3237625,300.07600000000025
827127p,CFHT,r.MP9601,[[53705.3278809 53705.33135408287]],53705.3278809,300.08299999999997
827128p,CFHT,r.MP9601,[[53705.3320097 53705.33548285972]],53705.3320097,300.0810000000001
827129p,CFHT,r.MP9601,[[53705.3368017 53705.34027490602]],53705.3368017,300.0849999999998
827130p,CFHT,r.MP9601,[[53705.3409415 53705.34441446296]],53705.3409415,300.06400000000014
827703p,CFHT,r.MP9601,[[53711.3456287 53711.3491021375]],53711.3456287,300.1049999999998
827705p,CFHT,r.MP9601,[[53711.3496823 53711.35315566806]],53711.3496823,300.0990000000001
827706p,CFHT,r.MP9601,[[53711.3537347 53711.35720803333]],53711.3537347,300.0959999999998
827707p,CFHT,r.MP9601,[[53711.358676 53711.36214949538]],53711.358676,300.11
827708p,CFHT,r.MP9601,[[53711.3627383 53711.366211679626]],53711.3627383,300.1000000000002
827709p,CFHT,r.MP9601,[[53711.3676269 53711.37110039537]],53711.3676269,300.11
827710p,CFHT,r.MP9601,[[53711.3728766 53711.37634995648]],53711.3728766,300.098
830709p,CFHT,r.MP9601,[[53726.3156261 53726.319099213426]],53726.3156261,300.077
830710p,CFHT,r.MP9601,[[53726.3196739 53726.323147024996]],53726.3196739,300.07799999999975
830711p,CFHT,r.MP9601,[[53726.3237194 53726.32719255972]],53726.3237194,300.0810000000001
830712p,CFHT,r.MP9601,[[53726.3282486 53726.33172173658]],53726.3282486,300.0789999999999
830713p,CFHT,r.MP9601,[[53726.3323126 53726.335785667135]],53726.3323126,300.07300000000015
831283p,CFHT,r.MP9601,[[53730.3408364 53730.34430954815]],53730.3408364,300.08
831284p,CFHT,r.MP9601,[[53730.3449681 53730.34844120185]],53730.3449681,300.07600000000025
831285p,CFHT,r.MP9601,[[53730.3490431 53730.35251621343]],53730.3490431,300.077
831286p,CFHT,r.MP9601,[[53730.3530915 53730.35656465972]],53730.3530915,300.0810000000001
831287p,CFHT,r.MP9601,[[53730.3573077 53730.360780963885]],53730.3573077,300.0900000000001
831288p,CFHT,r.MP9601,[[53730.3623641 53730.36583741019]],53730.3623641,300.0939999999998
831761p,CFHT,r.MP9601,[[53734.2970136 53734.30048674815]],53734.2970136,300.08
831762p,CFHT,r.MP9601,[[53734.3010643 53734.30453748287]],53734.3010643,300.08299999999997
831763p,CFHT,r.MP9601,[[53734.3051763 53734.308649529165]],53734.3051763,300.08699999999976
831764p,CFHT,r.MP9601,[[53734.3121505 53734.31562381019]],53734.3121505,300.0939999999998
831765p,CFHT,r.MP9601,[[53734.3169859 53734.32045918703]],53734.3169859,300.092
832271p,CFHT,r.MP9601,[[53739.3038224 53739.307295559716]],53739.3038224,300.0810000000001
832272p,CFHT,r.MP9601,[[53739.3078766 53739.31134979445]],53739.3078766,300.08400000000006
832273p,CFHT,r.MP9601,[[53739.3119302 53739.31540330185]],53739.3119302,300.07600000000025
832274p,CFHT,r.MP9601,[[53739.3160289 53739.319501886115]],53739.3160289,300.06600000000003
832275p,CFHT,r.MP9601,[[53739.3201427 53739.323615825]],53739.3201427,300.07799999999975
832276p,CFHT,r.MP9601,[[53739.3242611 53739.32773410926]],53739.3242611,300.068
835887p,CFHT,r.MP9601,[[53766.2813655 53766.28483875231]],53766.2813655,300.089
835888p,CFHT,r.MP9601,[[53766.2854301 53766.288903213426]],53766.2854301,300.077
835889p,CFHT,r.MP9601,[[53766.2895462 53766.2930192787]],53766.2895462,300.07399999999996
835890p,CFHT,r.MP9601,[[53766.2936617 53766.29713460509]],53766.2936617,300.05899999999997
835891p,CFHT,r.MP9601,[[53766.2977975 53766.30127053241]],53766.2977975,300.0699999999999
836420p,CFHT,r.MP9601,[[53769.2598615 53769.26333484491]],53769.2598615,300.0969999999998
836421p,CFHT,r.MP9601,[[53769.2639533 53769.26742657546]],53769.2639533,300.0910000000002
836422p,CFHT,r.MP9601,[[53769.2681723 53769.27164556389]],53769.2681723,300.0900000000001
836423p,CFHT,r.MP9601,[[53769.2722994 53769.27577265231]],53769.2722994,300.089
836424p,CFHT,r.MP9601,[[53769.2764323 53769.27990530926]],53769.2764323,300.068
