Preview,Collection,Obs. ID,Product ID,RA (J2000.0),Dec. (J2000.0),Start Date,Instrument,Int. Time,Target Name,Filter,Cal. Lev.,Obs. Type,Min. Wavelength,Max. Wavelength,Proposal ID,P.I. Name,Data Release,Field of View,Polygon,Pixel Scale,Resolving Power,End Date,Data Type,Moving Target,Provenance Name,Intent,Target Type,Target Standard,Target Keywords,Sequence Number,Algorithm Name,Proposal Title,Proposal Keywords,IQ,Instrument Keywords,Tau,Molecule,Transition,Proposal Project,Band,Prov. Version,Prov. Project,Prov. Run ID,Prov. Last Executed,Rest-frame Energy,Quality,Publisher ID
-----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caom:CFHT/714734,CFHT,714734.0,714734p,333.87611602550163,-17.730078673139147,52873.4170719,MegaPrime,360.05299999999994,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.975959223657398,334.3943808607478 -18.224885142510203 333.362790120048 -18.2297166569583 333.36030110585307 -17.234291879360665 334.38680668751783 -17.228946160795108,0.18591480437732036,4.4221514508099995,52873.4212391801,image,0.0,ELIXIR,science,,0.0,,714734.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:08:48.000,,,ivo://cadc.nrc.ca/CFHT?714734/714734p
caom:CFHT/714735,CFHT,714735.0,714735p,333.8716332322019,-17.731303082499693,52873.4227018,MegaPrime,360.0380000000003,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9761243594988968,334.39000640162544 -18.226139538433035 333.35837852860055 -18.231022660140447 333.3557294074209 -17.23532257500193 334.3823564310244 -17.230278603701134,0.18592379466724668,4.4221514508099995,52873.426868906485,image,0.0,ELIXIR,science,,0.0,,714735.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:08:50.000,,,ivo://cadc.nrc.ca/CFHT?714735/714735p
caom:CFHT/714736,CFHT,714736.0,714736p,333.87756148097384,-17.734226355584077,52873.428327099995,MegaPrime,360.05999999999995,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9760171054966378,334.395795143539 -18.229078955952527 333.3641375202008 -18.23385158263124 333.36177193082784 -17.238471217637937 334.3882965343963 -17.233013776670674,0.18591792510799468,4.4221514508099995,52873.43249446112,image,0.0,ELIXIR,science,,0.0,,714736.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:10:26.000,,,ivo://cadc.nrc.ca/CFHT?714736/714736p
caom:CFHT/714737,CFHT,714737.0,714737p,333.8805647412462,-17.72881094414599,52873.434098699996,MegaPrime,360.0669999999997,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9759996238297504,334.3987874644396 -18.22363000966859 333.3672084562732 -18.228479886480276 333.3648026480343 -17.232970354720393 334.3913040612684 -17.227690956606327,0.1859221482521933,4.4221514508099995,52873.438266142126,image,0.0,ELIXIR,science,,0.0,,714737.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:11:29.000,,,ivo://cadc.nrc.ca/CFHT?714737/714737p
caom:CFHT/714738,CFHT,714738.0,714738p,333.87482915126935,-17.72585831649097,52873.4398189,MegaPrime,360.0470000000003,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.976050013891438,334.39304960256817 -18.220705837591737 333.3613673973604 -18.225473006587784 333.359089054172 -17.230085493938084 334.38557399987417 -17.224658409808036,0.18591108727128736,4.4221514508099995,52873.443986110644,image,0.0,ELIXIR,science,,0.0,,714738.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:11:19.000,,,ivo://cadc.nrc.ca/CFHT?714738/714738p
caom:CFHT/715199,CFHT,715199.0,715199p,333.87614110267316,-17.73048488185351,52876.4295416,MegaPrime,360.0619999999999,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.975828919051594,334.3943473087393 -18.22522793331567 333.3628076306128 -18.23016703388741 333.360493382258 -17.234692225231626 334.38675596131594 -17.229315859374594,0.185897562080314,4.4221514508099995,52876.43370898426,image,0.0,ELIXIR,science,,0.0,,715199.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:29:52.000,,,ivo://cadc.nrc.ca/CFHT?715199/715199p
caom:CFHT/715200,CFHT,715200.0,715200p,333.87171060164377,-17.731748340792123,52876.43514659999,MegaPrime,360.04999999999984,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9758572645494468,334.3899551931129 -18.22650855617027 333.3584030363122 -18.23136630286013 333.3559682685839 -17.235818976472203 334.3824641401674 -17.230832597768096,0.18590878969358254,4.4221514508099995,52876.43931384538,image,0.0,ELIXIR,science,,0.0,,715200.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:29:57.000,,,ivo://cadc.nrc.ca/CFHT?715200/715200p
caom:CFHT/715201,CFHT,715201.0,715201p,333.87753688160075,-17.734653211320776,52876.4407927,MegaPrime,360.05999999999995,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9757392703720882,334.3957483465041 -18.229441775189862 333.3641846304994 -18.234205171141713 333.3618633696379 -17.238901172413257 334.3881300682509 -17.23352211036971,0.1859040319589341,4.4221514508099995,52876.44496006111,image,0.0,ELIXIR,science,,0.0,,715201.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:32:40.000,,,ivo://cadc.nrc.ca/CFHT?715201/715201p
caom:CFHT/715202,CFHT,715202.0,715202p,333.88059015148013,-17.729183300832375,52876.446428400006,MegaPrime,360.05700000000013,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9757503264384156,334.39873550653823 -18.223956827183308 333.3672426469034 -18.228757094674172 333.3649410403942 -17.233395210680236 334.39127049326345 -17.228124146266754,0.18590567860506887,4.4221514508099995,52876.45059572639,image,0.0,ELIXIR,science,,0.0,,715202.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:32:48.000,,,ivo://cadc.nrc.ca/CFHT?715202/715202p
caom:CFHT/715203,CFHT,715203.0,715203p,333.87482702133883,-17.72623961073602,52876.4520409,MegaPrime,360.05999999999995,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.97589617816746,334.3929595912847 -18.221043159646204 333.3613979252485 -18.22583155223903 333.359139296256 -17.23049844928549 334.38559317726384 -17.225103530879384,0.18590038722235253,4.4221514508099995,52876.45620826112,image,0.0,ELIXIR,science,,0.0,,715203.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T14:34:47.000,,,ivo://cadc.nrc.ca/CFHT?715203/715203p
caom:CFHT/715712,CFHT,715712.0,715712p,333.8768245493873,-17.72957460743413,52880.439078400006,MegaPrime,360.08,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9758385893877488,334.3949838872042 -18.224422279331648 333.3634401318573 -18.229132898888164 333.36115462214656 -17.233793966310905 334.3874872221583 -17.228434573464476,0.18590657997629625,4.4221514508099995,52880.44324599259,image,0.0,ELIXIR,science,,0.0,,715712.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T15:16:42.000,,,ivo://cadc.nrc.ca/CFHT?715712/715712p
caom:CFHT/715713,CFHT,715713.0,715713p,333.87234898563224,-17.730864940306944,52880.443848400006,MegaPrime,360.071,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9758918996018906,334.3905365689345 -18.225682194447316 333.35894392838117 -18.230475134214146 333.3566841474409 -17.235047409663842 334.38304232384 -17.229732271183927,0.18595639064505046,4.4221514508099995,52880.448015888425,image,0.0,ELIXIR,science,,0.0,,715713.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T15:16:35.000,,,ivo://cadc.nrc.ca/CFHT?715713/715713p
caom:CFHT/715714,CFHT,715714.0,715714p,333.87817591780725,-17.73378380386491,52880.4486178,MegaPrime,360.0619999999999,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9758797517067704,334.3963739160668 -18.228599718965327 333.36469742334236 -18.233308150130114 333.3624932027555 -17.237948025598122 334.38896733577644 -17.23276613383331,0.1859178148893955,4.4221514508099995,52880.45278518426,image,0.0,ELIXIR,science,,0.0,,715714.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T15:16:54.000,,,ivo://cadc.nrc.ca/CFHT?715714/715714p
caom:CFHT/715715,CFHT,715715.0,715715p,333.8812052422194,-17.728408331197272,52880.453378,MegaPrime,360.0849999999997,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9759834888819086,334.3993506141202 -18.223178976835104 333.36777669447696 -18.228132925915496 333.3655718139029 -17.232547557640785 334.39200450553454 -17.22728055289369,0.1859214449636866,4.4221514508099995,52880.45754565046,image,0.0,ELIXIR,science,,0.0,,715715.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T15:16:48.000,,,ivo://cadc.nrc.ca/CFHT?715715/715715p
